Year,Region,variable,value
1919-01-01,Northern Europe,No Injured,0.0
1919-01-01,Western Asia,No Injured,0.0
1919-01-01,Micronesia,No Injured,0.0
1919-01-01,Southern Africa,No Injured,0.0
1919-01-01,Middle Africa,No Injured,0.0
1919-01-01,Russian Federation,No Injured,0.0
1919-01-01,Central Asia,No Injured,0.0
1920-01-01,Western Africa,No Injured,0.0
1920-01-01,Southern Asia,No Injured,0.0
1920-01-01,Central America,No Injured,167.0
1920-01-01,Northern America,No Injured,0.0
1920-01-01,Eastern Africa,No Injured,0.0
1920-01-01,South America,No Injured,0.0
1920-01-01,Western Europe,No Injured,0.0
1920-01-01,Eastern Asia,No Injured,0.0
1920-01-01,Caribbean,No Injured,0.0
1920-01-01,South-Eastern Asia,No Injured,0.0
1920-01-01,Northern Africa,No Injured,0.0
1920-01-01,Eastern Europe,No Injured,0.0
1920-01-01,Southern Europe,No Injured,0.0
1920-01-01,Melanesia,No Injured,0.0
1920-01-01,Australia and New Zealand,No Injured,0.0
1920-01-01,Polynesia,No Injured,0.0
1920-01-01,Northern Europe,No Injured,0.0
1920-01-01,Western Asia,No Injured,0.0
1920-01-01,Micronesia,No Injured,0.0
1920-01-01,Southern Africa,No Injured,0.0
1920-01-01,Middle Africa,No Injured,0.0
1920-01-01,Russian Federation,No Injured,0.0
1920-01-01,Central Asia,No Injured,0.0
1921-01-01,Western Africa,No Injured,0.0
1921-01-01,Southern Asia,No Injured,0.0
1921-01-01,Central America,No Injured,0.0
1921-01-01,Northern America,No Injured,0.0
1921-01-01,Eastern Africa,No Injured,0.0
1921-01-01,South America,No Injured,0.0
1921-01-01,Western Europe,No Injured,0.0
1921-01-01,Eastern Asia,No Injured,0.0
1921-01-01,Caribbean,No Injured,0.0
1921-01-01,South-Eastern Asia,No Injured,0.0
1921-01-01,Northern Africa,No Injured,0.0
1921-01-01,Eastern Europe,No Injured,0.0
1921-01-01,Southern Europe,No Injured,0.0
1921-01-01,Melanesia,No Injured,0.0
1921-01-01,Australia and New Zealand,No Injured,0.0
1921-01-01,Polynesia,No Injured,0.0
1921-01-01,Northern Europe,No Injured,0.0
1921-01-01,Western Asia,No Injured,0.0
1921-01-01,Micronesia,No Injured,0.0
1921-01-01,Southern Africa,No Injured,0.0
1921-01-01,Middle Africa,No Injured,0.0
1921-01-01,Russian Federation,No Injured,0.0
1921-01-01,Central Asia,No Injured,0.0
1922-01-01,Western Africa,No Injured,0.0
1922-01-01,Southern Asia,No Injured,0.0
1922-01-01,Central America,No Injured,0.0
1922-01-01,Northern America,No Injured,0.0
1922-01-01,Eastern Africa,No Injured,0.0
1922-01-01,South America,No Injured,0.0
1922-01-01,Western Europe,No Injured,0.0
1922-01-01,Eastern Asia,No Injured,0.0
1922-01-01,Caribbean,No Injured,0.0
1922-01-01,South-Eastern Asia,No Injured,0.0
1922-01-01,Northern Africa,No Injured,0.0
1922-01-01,Eastern Europe,No Injured,0.0
1922-01-01,Southern Europe,No Injured,0.0
1922-01-01,Melanesia,No Injured,0.0
1922-01-01,Australia and New Zealand,No Injured,0.0
1922-01-01,Polynesia,No Injured,0.0
1922-01-01,Northern Europe,No Injured,0.0
1922-01-01,Western Asia,No Injured,0.0
1922-01-01,Micronesia,No Injured,0.0
1922-01-01,Southern Africa,No Injured,0.0
1922-01-01,Middle Africa,No Injured,0.0
1922-01-01,Russian Federation,No Injured,0.0
1922-01-01,Central Asia,No Injured,0.0
1923-01-01,Western Africa,No Injured,0.0
1923-01-01,Southern Asia,No Injured,0.0
1923-01-01,Central America,No Injured,0.0
1923-01-01,Northern America,No Injured,0.0
1923-01-01,Eastern Africa,No Injured,0.0
1923-01-01,South America,No Injured,0.0
1923-01-01,Western Europe,No Injured,0.0
1923-01-01,Eastern Asia,No Injured,103733.0
1923-01-01,Caribbean,No Injured,0.0
1923-01-01,South-Eastern Asia,No Injured,0.0
1923-01-01,Northern Africa,No Injured,0.0
1923-01-01,Eastern Europe,No Injured,0.0
1923-01-01,Southern Europe,No Injured,0.0
1923-01-01,Melanesia,No Injured,0.0
1923-01-01,Australia and New Zealand,No Injured,0.0
1923-01-01,Polynesia,No Injured,0.0
1923-01-01,Northern Europe,No Injured,0.0
1923-01-01,Western Asia,No Injured,0.0
1923-01-01,Micronesia,No Injured,0.0
1923-01-01,Southern Africa,No Injured,0.0
1923-01-01,Middle Africa,No Injured,0.0
1923-01-01,Russian Federation,No Injured,0.0
1923-01-01,Central Asia,No Injured,0.0
1924-01-01,Western Africa,No Injured,0.0
1924-01-01,Southern Asia,No Injured,0.0
1924-01-01,Central America,No Injured,0.0
1924-01-01,Northern America,No Injured,0.0
1924-01-01,Eastern Africa,No Injured,0.0
1924-01-01,South America,No Injured,0.0
1924-01-01,Western Europe,No Injured,0.0
1924-01-01,Eastern Asia,No Injured,0.0
1924-01-01,Caribbean,No Injured,0.0
1924-01-01,South-Eastern Asia,No Injured,0.0
1924-01-01,Northern Africa,No Injured,0.0
1924-01-01,Eastern Europe,No Injured,0.0
1924-01-01,Southern Europe,No Injured,0.0
1924-01-01,Melanesia,No Injured,0.0
1924-01-01,Australia and New Zealand,No Injured,0.0
1924-01-01,Polynesia,No Injured,0.0
1924-01-01,Northern Europe,No Injured,0.0
1924-01-01,Western Asia,No Injured,0.0
1924-01-01,Micronesia,No Injured,0.0
1924-01-01,Southern Africa,No Injured,0.0
1924-01-01,Middle Africa,No Injured,0.0
1924-01-01,Russian Federation,No Injured,0.0
1924-01-01,Central Asia,No Injured,0.0
1925-01-01,Western Africa,No Injured,0.0
1925-01-01,Southern Asia,No Injured,0.0
1925-01-01,Central America,No Injured,0.0
1925-01-01,Northern America,No Injured,0.0
1925-01-01,Eastern Africa,No Injured,0.0
1925-01-01,South America,No Injured,0.0
1925-01-01,Western Europe,No Injured,0.0
1925-01-01,Eastern Asia,No Injured,0.0
1925-01-01,Caribbean,No Injured,0.0
1925-01-01,South-Eastern Asia,No Injured,0.0
1925-01-01,Northern Africa,No Injured,0.0
1925-01-01,Eastern Europe,No Injured,0.0
1925-01-01,Southern Europe,No Injured,0.0
1925-01-01,Melanesia,No Injured,0.0
1925-01-01,Australia and New Zealand,No Injured,0.0
1925-01-01,Polynesia,No Injured,0.0
